n,bits,queries,negative,positive,false_positive,true_negative
5,3.2,1e+06,1e+06,0,191881,808119
5,4.8,1e+06,1e+06,0,52337,947663
5,8,1e+06,1e+06,0,59460,940540
5,12.8,1e+06,1e+06,0,7306,992694
5,16,1e+06,1e+06,0,117,999883
5,24,1e+06,1e+06,0,2,999998
5,32,1e+06,1e+06,0,0,1e+06
5,40,1e+06,1e+06,0,0,1e+06
5,48,1e+06,1e+06,0,0,1e+06
10,2.4,1e+06,1e+06,0,293393,706607
10,4,1e+06,1e+06,0,189732,810268
10,8,1e+06,1e+06,0,13381,986619
10,12,1e+06,1e+06,0,4659,995341
10,16,1e+06,1e+06,0,840,999160
10,24,1e+06,1e+06,0,13,999987
10,32,1e+06,1e+06,0,0,1e+06
10,40,1e+06,1e+06,0,0,1e+06
10,48,1e+06,1e+06,0,0,1e+06
15,2.13333,1e+06,1e+06,0,515713,484287
15,4.26667,1e+06,1e+06,0,103128,896872
15,8,1e+06,1e+06,0,17191,982809
15,12.2667,1e+06,1e+06,0,4491,995509
15,16,1e+06,1e+06,0,855,999145
15,24,1e+06,1e+06,0,17,999983
15,32,1e+06,1e+06,0,0,1e+06
15,40,1e+06,1e+06,0,0,1e+06
15,48,1e+06,1e+06,0,0,1e+06
20,2,1e+06,1e+06,0,390748,609252
20,4,1e+06,1e+06,0,166498,833502
20,8,1e+06,1e+06,0,16889,983111
20,12,1e+06,1e+06,0,4587,995413
20,16,1e+06,1e+06,0,435,999565
20,24,1e+06,1e+06,0,9,999991
20,32,1e+06,1e+06,0,0,1e+06
20,40,1e+06,1e+06,0,0,1e+06
20,48,1e+06,1e+06,0,0,1e+06
25,2.24,1e+06,1e+06,0,368674,631326
25,4.16,1e+06,1e+06,0,124982,875018
25,8,1e+06,1e+06,0,19876,980124
25,12.16,1e+06,1e+06,0,3123,996877
25,16,1e+06,1e+06,0,364,999636
25,24,1e+06,1e+06,0,6,999994
25,32,1e+06,1e+06,0,0,1e+06
25,40,1e+06,1e+06,0,0,1e+06
25,48,1e+06,1e+06,0,0,1e+06
30,2.13333,1e+06,1e+06,0,352979,647021
30,4,1e+06,1e+06,0,151822,848178
30,8,1e+06,1e+06,0,13553,986447
30,12,1e+06,1e+06,0,2813,997187
30,16,1e+06,1e+06,0,494,999506
30,24,1e+06,1e+06,0,6,999994
30,32,1e+06,1e+06,0,0,1e+06
30,40,1e+06,1e+06,0,0,1e+06
30,48,1e+06,1e+06,0,0,1e+06
40,2,1e+06,1e+06,0,302361,697639
40,4,1e+06,1e+06,0,172497,827503
40,8,1e+06,1e+06,0,20874,979126
40,12,1e+06,1e+06,0,2746,997254
40,16,1e+06,1e+06,0,315,999685
40,24,1e+06,1e+06,0,14,999986
40,32,1e+06,1e+06,0,0,1e+06
40,40,1e+06,1e+06,0,0,1e+06
40,48,1e+06,1e+06,0,0,1e+06
50,2.08,1e+06,1e+06,0,366149,633851
50,4,1e+06,1e+06,0,157155,842845
50,8,1e+06,1e+06,0,20377,979623
50,12,1e+06,1e+06,0,2808,997192
50,16,1e+06,1e+06,0,384,999616
50,24,1e+06,1e+06,0,17,999983
50,32,1e+06,1e+06,0,0,1e+06
50,40,1e+06,1e+06,0,0,1e+06
50,48,1e+06,1e+06,0,0,1e+06
60,2,1e+06,1e+06,0,369284,630716
60,4,1e+06,1e+06,0,144729,855271
60,8,1e+06,1e+06,0,17912,982088
60,12,1e+06,1e+06,0,4040,995960
60,16,1e+06,1e+06,0,358,999642
60,24,1e+06,1e+06,0,9,999991
60,32,1e+06,1e+06,0,0,1e+06
60,40,1e+06,1e+06,0,0,1e+06
60,48,1e+06,1e+06,0,0,1e+06
70,2.05714,1e+06,1e+06,0,382551,617449
70,4,1e+06,1e+06,0,147363,852637
70,8,1e+06,1e+06,0,24377,975623
70,12,1e+06,1e+06,0,2726,997274
70,16,1e+06,1e+06,0,431,999569
70,24,1e+06,1e+06,0,8,999992
70,32,1e+06,1e+06,0,0,1e+06
70,40,1e+06,1e+06,0,0,1e+06
70,48,1e+06,1e+06,0,0,1e+06
80,2,1e+06,1e+06,0,375366,624634
80,4,1e+06,1e+06,0,150305,849695
80,8,1e+06,1e+06,0,22129,977871
80,12,1e+06,1e+06,0,3008,996992
80,16,1e+06,1e+06,0,523,999477
80,24,1e+06,1e+06,0,8,999992
80,32,1e+06,1e+06,0,0,1e+06
80,40,1e+06,1e+06,0,0,1e+06
80,48,1e+06,1e+06,0,0,1e+06
100,2,1e+06,1e+06,0,409857,590143
100,4,1e+06,1e+06,0,143519,856481
100,8,1e+06,1e+06,0,21986,978014
100,12,1e+06,1e+06,0,3110,996890
100,16,1e+06,1e+06,0,410,999590
100,24,1e+06,1e+06,0,19,999981
100,32,1e+06,1e+06,0,0,1e+06
100,40,1e+06,1e+06,0,0,1e+06
100,48,1e+06,1e+06,0,0,1e+06
125,2.048,1e+06,1e+06,0,386184,613816
125,4.032,1e+06,1e+06,0,136147,863853
125,8,1e+06,1e+06,0,19857,980143
125,12.032,1e+06,1e+06,0,3221,996779
125,16,1e+06,1e+06,0,366,999634
125,24,1e+06,1e+06,0,7,999993
125,32,1e+06,1e+06,0,0,1e+06
125,40,1e+06,1e+06,0,0,1e+06
125,48,1e+06,1e+06,0,0,1e+06
150,2.02667,1e+06,1e+06,0,403269,596731
150,4,1e+06,1e+06,0,152116,847884
150,8,1e+06,1e+06,0,21092,978908
150,12,1e+06,1e+06,0,3186,996814
150,16,1e+06,1e+06,0,562,999438
150,24,1e+06,1e+06,0,11,999989
150,32,1e+06,1e+06,0,0,1e+06
150,40,1e+06,1e+06,0,0,1e+06
150,48,1e+06,1e+06,0,0,1e+06
175,2.01143,1e+06,1e+06,0,400723,599277
175,4.02286,1e+06,1e+06,0,160007,839993
175,8,1e+06,1e+06,0,22528,977472
175,12.0229,1e+06,1e+06,0,3455,996545
175,16,1e+06,1e+06,0,325,999675
175,24,1e+06,1e+06,0,10,999990
175,32,1e+06,1e+06,0,0,1e+06
175,40,1e+06,1e+06,0,0,1e+06
175,48,1e+06,1e+06,0,0,1e+06
200,2,1e+06,1e+06,0,428040,571960
200,4,1e+06,1e+06,0,149636,850364
200,8,1e+06,1e+06,0,24209,975791
200,12,1e+06,1e+06,0,3278,996722
200,16,1e+06,1e+06,0,547,999453
200,24,1e+06,1e+06,0,8,999992
200,32,1e+06,1e+06,0,0,1e+06
200,40,1e+06,1e+06,0,0,1e+06
200,48,1e+06,1e+06,0,0,1e+06
